序号,标题,层级,忠实度分,原稿字数,生成字数,压缩比,关键词保留,内容词保留,数字保留,ASCII保留,虚构风险,结论,诊断
1,存款利率跌破1%：债务出清前，不亏即是赢,medium,99.7,1081,1030,0.953,100%,99%,100%,100%,0%,良好,
2,居民收入大幅增长前，货币政策将持续失灵,medium,99.1,950,1012,1.065,100%,97%,100%,100%,0%,良好,
3,存款利率跌破1%，本质是全民债务置换,medium,79.5,1342,1150,0.857,86%,60%,75%,100%,0%,中等：建议人工复核,指标偏低但未见单项硬伤，建议人工抽查
4,26年过得舒服的关键：降杠杆、加现金流、守资产,medium,82.5,1006,1010,1.004,100%,75%,100%,0%,0%,基本合格,指标偏低但未见单项硬伤，建议人工抽查
5,90%报废动力电池流入黑作坊的环保危机,medium,76.0,1232,842,0.683,85%,55%,67%,100%,0%,中等：建议人工复核,指标偏低但未见单项硬伤，建议人工抽查
6,医生年薪制按职称定薪损害医疗效率,medium,77.0,2302,1329,0.577,90%,47%,75%,100%,0%,中等：建议人工复核,指标偏低但未见单项硬伤，建议人工抽查
7,通胀对普通人意味着能挣到钱,medium,92.4,980,889,0.907,100%,75%,100%,100%,0%,良好,
8,杀死音乐的不是盗版，是平台垄断,medium,97.1,1334,1160,0.87,100%,90%,100%,100%,0%,良好,
9,中国能源缓冲垫有效但时效有限,medium,93.2,1000,987,0.987,100%,77%,100%,100%,0%,良好,
10,霍尔木兹海峡封禁已近四十天，实质性冲击将至,medium,83.9,1005,884,0.88,90%,58%,100%,100%,0%,基本合格,指标偏低但未见单项硬伤，建议人工抽查
11,散户与高手的本质区别：不在猜底而在等车,medium,73.5,1273,1020,0.801,57%,62%,100%,100%,0%,中等：建议人工复核,核心关键词保留率偏低，可能漏掉主要案例/论证
12,平台算法压榨骑手，管理失当加剧普通人困境,medium,84.7,1573,1209,0.769,80%,72%,100%,100%,0%,基本合格,指标偏低但未见单项硬伤，建议人工抽查
13,科技进步不会让人更轻松，只会让人更忙,medium,87.5,1564,1198,0.766,94%,66%,100%,100%,0%,基本合格,指标偏低但未见单项硬伤，建议人工抽查
14,算法正在固化思维并扼杀深度内容,long,72.3,4409,1885,0.428,75%,43%,100%,50%,0%,压缩较重，核心观点需人工复核,指标偏低但未见单项硬伤，建议人工抽查
15,延迟退休不是解药，而是分配失衡的遮羞布,medium,93.5,1168,991,0.848,100%,78%,100%,100%,0%,良好,
16,Meta被判罚600万：平台成瘾设计难辞其咎,long,90.7,3004,1744,0.581,91%,74%,100%,100%,0%,良好,
17,付鹏警示：普通人用AI直接问代码炒股极易被收割,medium,98.8,1189,1264,1.063,100%,96%,100%,100%,0%,良好,
18,中产家庭以能力替代学历的门槛与代价,medium,99.4,1108,1154,1.042,100%,98%,100%,100%,0%,良好,
19,汇率波动的本质是国家间的“比烂”与效率重构,medium,82.7,2319,1362,0.587,96%,64%,100%,50%,0%,基本合格,指标偏低但未见单项硬伤，建议人工抽查
20,欧洲高福利困境：过度追求公平导致效率衰退,medium,84.8,2161,1483,0.686,96%,76%,56%,100%,0%,基本合格,指标偏低但未见单项硬伤，建议人工抽查
21,自然资源部38号文件：严控新增与存量盘活下的楼市分化,long,84.0,3934,2460,0.625,94%,77%,57%,100%,0%,基本合格,指标偏低但未见单项硬伤，建议人工抽查
22,地缘冲突下的跨资产联动：寻找确定性比预测波动更重要,medium,97.3,2212,1740,0.787,100%,91%,100%,100%,0%,良好,
23,知天命之年，该停一停了,medium,95.8,1901,1403,0.738,100%,86%,100%,100%,0%,良好,
24,AI杀估值本质是流动性枯竭,medium,77.3,1203,591,0.491,77%,51%,100%,100%,0%,中等：建议人工复核,指标偏低但未见单项硬伤，建议人工抽查
25,AI时代人类社交正被重构为与AI的对话,long,55.6,3298,1269,0.385,79%,42%,0%,69%,0%,偏弱：建议人工复核或重写,数字/年份保留率低（丢：1999年）
26,能源战升级正在触发全球市场流动性危机,long,55.9,5622,1330,0.237,69%,41%,33%,50%,0%,偏弱：建议人工复核或重写,"数字/年份保留率低（丢：1980年, 2001年, 2014年, 一百万）"
27,我确定退休选成都,long,57.9,5200,1114,0.214,54%,32%,60%,100%,0%,偏弱：建议人工复核或重写,指标偏低但未见单项硬伤，建议人工抽查
28,从1970年代冷战看当下战争金属博弈,long,56.1,7779,1475,0.19,61%,30%,55%,67%,0%,偏弱：建议人工复核或重写,指标偏低但未见单项硬伤，建议人工抽查
29,香港楼市下跌的本质是人口周期拐点,long,42.8,12775,2072,0.162,54%,30%,36%,0%,0%,差：建议重写,"数字/年份保留率低（丢：1819年, 1967年, 1994年, 2002年）"
