index,id,title,published_at,duration_sec,source_chars,article_chars,tags,folder,source_url
1,f031f5fe-bf82-447b-9cad-406dc05d24e8,存款利率跌破1%：债务出清前，不亏即是赢,2026-04-23,202,1081,1147,低利率 / 债务出清 / 资产配置 / 宏观经济,exports/fupeng_claude_review_pack/articles/001-存款利率跌破1%：债务出清前，不亏即是赢,https://www.douyin.com/video/7631480712989920521
2,69ab9c55-777d-4667-bd00-cd9c4fd13df3,居民收入大幅增长前，货币政策将持续失灵,2026-04-22,187,950,1139,货币政策 / 债务化解 / 居民收入 / 投资策略,exports/fupeng_claude_review_pack/articles/002-居民收入大幅增长前，货币政策将持续失灵,https://www.douyin.com/video/7631415169998015796
3,39063e71-7816-4cb6-aaf4-177a82513109,存款利率跌破1%，本质是全民债务置换,2026-04-21,267,1342,1295,债务置换 / 净息差 / 地方债 / 存量房贷,exports/fupeng_claude_review_pack/articles/003-存款利率跌破1%，本质是全民债务置换,https://www.douyin.com/video/7631159076256271650
4,30f2108b-91c3-46d6-89a5-8df2354abcbf,26年过得舒服的关键：降杠杆、加现金流、守资产,2026-04-20,180,1006,1126,资产负债表管理 / 现金流规划 / 债务周期 / 个人财务健康,exports/fupeng_claude_review_pack/articles/004-26年过得舒服的关键：降杠杆、加现金流、守资产,https://www.douyin.com/video/7630740351514365234
5,29c82661-9d6e-444b-be0a-bc5c5f90b9ab,90%报废动力电池流入黑作坊的环保危机,2026-04-19,231,1232,965,动力电池回收 / 环保监管 / 新能源汽车产业链 / 黑色产业链,exports/fupeng_claude_review_pack/articles/005-90%报废动力电池流入黑作坊的环保危机,https://www.douyin.com/video/7630380606605643043
6,307da338-23fd-457a-8ae9-792b039e7f86,医生年薪制按职称定薪损害医疗效率,2026-04-18,394,2302,1489,医疗卫生改革 / 医生薪酬制度 / 职称评定 / 医疗效率,exports/fupeng_claude_review_pack/articles/006-医生年薪制按职称定薪损害医疗效率,https://www.douyin.com/video/7630056794701827328
7,4709f90a-a427-4b5c-9c75-ed91a4c9b511,通胀对普通人意味着能挣到钱,2026-04-15,159,980,1013,宏观经济 / 个人理财 / 劳动收入 / 通胀认知,exports/fupeng_claude_review_pack/articles/007-通胀对普通人意味着能挣到钱,https://www.douyin.com/video/7628963180387093798
8,80782fbb-a7de-4b70-b787-a1d865b5135d,杀死音乐的不是盗版，是平台垄断,2026-04-13,232,1334,1306,音乐产业 / 平台经济 / 算法推荐 / 文化生产,exports/fupeng_claude_review_pack/articles/008-杀死音乐的不是盗版，是平台垄断,https://www.douyin.com/video/7628224859708935434
9,179fd2f4-a3d6-4469-963e-46e942a1ab87,中国能源缓冲垫有效但时效有限,2026-04-11,180,1002,1104,能源安全 / 地缘政治风险 / 原油供应链 / 宏观对冲,exports/fupeng_claude_review_pack/articles/009-中国能源缓冲垫有效但时效有限,https://www.douyin.com/video/7627438696500940078
10,7773b11a-dad4-4977-9502-d1398dead79a,霍尔木兹海峡封禁已近四十天，实质性冲击将至,2026-04-10,190,1007,1003,能源供应链 / 地缘政治风险 / 原油市场 / 炼油产能,exports/fupeng_claude_review_pack/articles/010-霍尔木兹海峡封禁已近四十天，实质性冲击将至,https://www.douyin.com/video/7627090542446349583
